local_id;type_local;surf_carre;nb_piece_princ;surf_terrain;nature_cult;nature_cult_spec;cadastre_id
6837;Appartement;62,71;2;;;;19610
9772;Appartement;62,71;3;;;;14628
6838;Appartement;62,72;2;;;;22055
9773;Appartement;62,72;3;;;;23688
13023;Appartement;62,72;4;;;;29931
9774;Appartement;62,73;3;;;;450
9775;Maison;62,73;3;;;;2557
13024;Maison;62,73;4;;;;24634
13025;Appartement;62,74;4;;;;14498
6839;Appartement;62,75;2;;;;25520
9776;Appartement;62,75;3;;;;7935
9777;Maison;62,75;3;;;;15761
13026;Appartement;62,75;4;;;;366
6840;Appartement;62,76;2;;;;11004
9778;Appartement;62,76;3;;;;23878
9779;Maison;62,76;3;;;;33
9780;Appartement;62,77;3;;;;2
13027;Appartement;62,77;4;;;;17441
6841;Appartement;62,78;2;;;;26563
9781;Appartement;62,78;3;;;;6501
9782;Maison;62,78;3;;;;15200
13028;Appartement;62,78;4;;;;1176
9783;Appartement;62,79;3;;;;800
6842;Appartement;62,80;2;;;;22136
9784;Appartement;62,80;3;;;;4704
9785;Appartement;62,81;3;;;;1036
13029;Appartement;62,81;4;;;;13128
9786;Appartement;62,82;3;;;;555
