mutation_id;num_disposition;date_mutation;valeur_fonciere;local_id
26830;1;24/06/2020;825000;17709
26831;1;28/01/2020;825050;2882
26832;1;28/01/2020;825700;14047
26833;1;06/01/2020;825750;14876
26834;1;25/05/2020;82600;1777
26835;1;28/05/2020;82600;2460
26836;1;14/01/2020;826000;15178
26837;1;16/04/2020;826000;15119
26838;1;29/05/2020;826250;16842
26839;1;21/02/2020;82650;14170
26840;1;26/02/2020;82650;570
26841;1;26/03/2020;82650;9523
26842;1;24/01/2020;82664;3514
26843;1;15/04/2020;82665;1403
26844;1;18/06/2020;826951;11990
26845;1;28/01/2020;82700;3741
26846;1;29/04/2020;82700;7789
26847;1;25/05/2020;82700;585
26848;1;11/05/2020;827000;2863
26849;2;11/06/2020;82720;6478
26850;1;30/04/2020;82751;10994
26851;1;07/02/2020;82760;8789
26852;1;29/01/2020;82800;3183
26853;1;05/03/2020;82800;307
26854;1;10/03/2020;82800;10330
26855;1;20/04/2020;82800;3034
26856;1;20/05/2020;82800;3356
26857;1;15/01/2020;828000;10886
26858;1;21/02/2020;828100;12426
26859;1;28/05/2020;82925;6153
26860;1;07/05/2020;829500;15513
26861;1;20/05/2020;82980;470
26862;1;10/01/2020;83000;16728
26863;1;14/01/2020;83000;16812
26864;1;17/01/2020;83000;5651
26865;1;21/01/2020;83000;3941
26866;1;24/01/2020;83000;1096
26867;1;25/01/2020;83000;2038
26868;1;28/01/2020;83000;12332
26869;1;31/01/2020;83000;16914
26870;1;05/02/2020;83000;1677
26871;1;07/02/2020;83000;1860
26872;1;12/02/2020;83000;4736
26873;1;17/02/2020;83000;6883
26874;1;18/02/2020;83000;2186
26875;1;19/02/2020;83000;6218
26876;1;20/02/2020;83000;1502
26877;1;21/02/2020;83000;6789
26878;1;24/02/2020;83000;9616
26879;1;27/02/2020;83000;6637
26880;1;28/02/2020;83000;11549
26881;1;04/03/2020;83000;1962
26882;1;05/03/2020;83000;1092
26883;1;06/03/2020;83000;10758
26884;1;11/03/2020;83000;8062
26885;1;17/03/2020;83000;5188
26886;1;20/03/2020;83000;5396
26887;1;24/03/2020;83000;13768
26888;1;09/04/2020;83000;13213
26889;1;14/04/2020;83000;5290
26890;1;17/04/2020;83000;11677
26891;1;30/04/2020;83000;10221
26892;1;04/05/2020;83000;1166
26893;1;07/05/2020;83000;13349
26894;1;11/05/2020;83000;5485
26895;1;12/05/2020;83000;5234
26896;1;15/05/2020;83000;4843
26897;1;18/05/2020;83000;5700
26898;1;25/05/2020;83000;5180
26899;1;27/05/2020;83000;8837
26900;1;28/05/2020;83000;1167
26901;1;29/05/2020;83000;14935
26902;1;02/06/2020;83000;9219
26903;1;05/06/2020;83000;5460
26904;1;08/06/2020;83000;2504
26905;1;09/06/2020;83000;3269
26906;1;11/06/2020;83000;4340
